,Name,Date,Closing Price,High after 1 day,High after 2 days,High after 3 days,High after 4 days,High after 5 days,High after 6 days,High after 7 days,High after 8 days,High after 9 days,High after 10 days
0,Apple,2018-01-26,42.877498626708984,42.540000915527344,41.842498779296875,42.11000061035156,42.154998779296875,41.70000076293945,40.970001220703125,40.93000030517578,40.849998474121094,40.25,39.47249984741211
1,Google,2016-06-23,714.8699951171875,705.0,683.3300170898438,692.739990234375,699.5,703.77001953125,712.530029296875,708.1199951171875,713.0,710.1699829101562,717.9000244140625
2,Google,2016-07-07,707.260009765625,717.9000244140625,728.9299926757812,735.5999755859375,735.52001953125,736.1400146484375,741.0,755.1400146484375,756.5900268554688,760.6400146484375,758.1500244140625
3,Amazon,2016-11-23,780.1199951171875,786.75,777.0,769.8900146484375,768.0900268554688,753.3699951171875,748.489990234375,761.489990234375,768.239990234375,770.4199829101562,773.7899780273438
4,Amazon,2018-10-12,1788.6099853515625,1795.050048828125,1823.8800048828125,1845.0,1830.1500244140625,1809.0999755859375,1809.5,1776.3399658203125,1777.7099609375,1794.81005859375,1698.4599609375
5,Amazon,2020-03-13,1785.0,1759.449951171875,1857.780029296875,1841.6600341796875,1945.0,1957.0,1919.4000244140625,1955.0,1950.260009765625,1956.489990234375,1939.7900390625
6,Tesla,2015-08-26,44.96799850463867,48.95000076293945,50.290000915527344,50.9900016784668,49.20000076293945,49.57600021362305,50.41600036621094,48.81800079345703,49.832000732421875,50.849998474121094,50.14400100708008
7,Tesla,2017-08-28,69.13200378417969,69.80999755859375,70.69400024414062,71.68800354003906,71.51799774169922,71.0979995727539,70.19599914550781,70.49600219726562,69.95600128173828,72.74199676513672,73.75199890136719
